run_id,timestamp,params,avg_reward,std_reward,avg_length,mean_hunger,mean_thirst,grazing_balance,action_counts,best,time_sec
21,2025-11-24 13:26:49,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",393.05395780563333,4.274397778957455,45.0,0.04733926151196163,0.4445333333333338,"[0.3333333333333333, 0.32727272727272727, 0.33939393939393936]",55|54|56|0|60,,425.4
22,2025-11-24 13:33:52,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",396.569591630697,5.37881230600003,45.0,0.04410130322178206,0.4680000000000006,"[0.33939393939393936, 0.32727272727272727, 0.3333333333333333]",56|54|55|0|60,,423.5
23,2025-11-24 13:40:56,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",394.58820144355275,2.144241855587728,45.0,0.04457144498493938,0.4636000000000006,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,424.0
24,2025-11-24 13:47:59,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",392.94243881940815,0.8928645851644935,45.0,0.045922436128060025,0.40640000000000026,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|54|56|0|60,,422.7
25,2025-11-24 13:53:55,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",404.43880912125087,6.062632892168505,45.0,0.05887914839651852,0.2998666666666666,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,356.5
26,2025-11-24 13:59:52,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",401.2788217300174,6.977181186862771,45.0,0.057213108475340765,0.29226666666666673,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,356.2
27,2025-11-24 14:05:49,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",401.3547463726994,4.984993460817118,45.0,0.06097906379567255,0.2673333333333333,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,357.1
28,2025-11-24 14:11:45,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",399.467344831228,5.071903521663394,45.0,0.058229599651363186,0.2890666666666668,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,356.8
29,2025-11-24 14:17:44,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 128, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",391.40530750811075,4.558241565443223,45.0,0.04475677145653302,0.46946666666666725,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,358.2
30,2025-11-24 14:23:40,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 2048, 'batch_size': 128, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",391.0155855911968,2.4093204768416996,45.0,0.04437833669119412,0.4254666666666672,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,356.9
